programCode,programName,startDate,endDate,capacity,useYn,description
PRG00001,프로그램 00001,2024-01-02,2026-03-02,11,Y,교육과정 설명 00001
PRG00002,프로그램 00002,2024-01-03,2025-12-29,12,Y,교육과정 설명 00002
PRG00003,프로그램 00003,2024-01-04,2026-03-04,13,Y,교육과정 설명 00003
PRG00004,프로그램 00004,2024-01-05,2025-12-27,14,Y,교육과정 설명 00004
PRG00005,프로그램 00005,2024-01-06,2026-03-06,15,N,교육과정 설명 00005
PRG00006,프로그램 00006,2024-01-07,2025-12-25,16,Y,교육과정 설명 00006
PRG00007,프로그램 00007,2024-01-08,2026-03-08,17,Y,교육과정 설명 00007
PRG00008,프로그램 00008,2024-01-09,2025-12-23,18,Y,교육과정 설명 00008
PRG00009,프로그램 00009,2024-01-10,2026-03-10,19,Y,교육과정 설명 00009
PRG00010,프로그램 00010,2024-01-11,2025-12-21,20,N,교육과정 설명 00010
PRG00011,프로그램 00011,2024-01-12,2026-03-12,21,Y,교육과정 설명 00011
PRG00012,프로그램 00012,2024-01-13,2025-12-19,22,Y,교육과정 설명 00012
PRG00013,프로그램 00013,2024-01-14,2026-03-14,23,Y,교육과정 설명 00013
PRG00014,프로그램 00014,2024-01-15,2025-12-17,24,Y,교육과정 설명 00014
PRG00015,프로그램 00015,2024-01-16,2026-03-16,25,N,교육과정 설명 00015
PRG00016,프로그램 00016,2024-01-17,2025-12-15,26,Y,교육과정 설명 00016
PRG00017,프로그램 00017,2024-01-18,2026-03-18,27,Y,교육과정 설명 00017
PRG00018,프로그램 00018,2024-01-19,2025-12-13,28,Y,교육과정 설명 00018
PRG00019,프로그램 00019,2024-01-20,2026-03-20,29,Y,교육과정 설명 00019
PRG00020,프로그램 00020,2024-01-21,2025-12-11,30,N,교육과정 설명 00020
PRG00021,프로그램 00021,2024-01-22,2026-03-22,31,Y,교육과정 설명 00021
PRG00022,프로그램 00022,2024-01-23,2025-12-09,32,Y,교육과정 설명 00022
PRG00023,프로그램 00023,2024-01-24,2026-03-24,33,Y,교육과정 설명 00023
PRG00024,프로그램 00024,2024-01-25,2025-12-07,34,Y,교육과정 설명 00024
PRG00025,프로그램 00025,2024-01-26,2026-03-26,35,N,교육과정 설명 00025
PRG00026,프로그램 00026,2024-01-27,2025-12-05,36,Y,교육과정 설명 00026
PRG00027,프로그램 00027,2024-01-28,2026-03-28,37,Y,교육과정 설명 00027
PRG00028,프로그램 00028,2024-01-29,2025-12-03,38,Y,교육과정 설명 00028
PRG00029,프로그램 00029,2024-01-30,2026-03-30,39,Y,교육과정 설명 00029
PRG00030,프로그램 00030,2024-01-31,2025-12-01,40,N,교육과정 설명 00030
PRG00031,프로그램 00031,2024-02-01,2026-04-01,41,Y,교육과정 설명 00031
PRG00032,프로그램 00032,2024-02-02,2025-11-29,42,Y,교육과정 설명 00032
PRG00033,프로그램 00033,2024-02-03,2026-04-03,43,Y,교육과정 설명 00033
PRG00034,프로그램 00034,2024-02-04,2025-11-27,44,Y,교육과정 설명 00034
PRG00035,프로그램 00035,2024-02-05,2026-04-05,45,N,교육과정 설명 00035
PRG00036,프로그램 00036,2024-02-06,2025-11-25,46,Y,교육과정 설명 00036
PRG00037,프로그램 00037,2024-02-07,2026-04-07,47,Y,교육과정 설명 00037
PRG00038,프로그램 00038,2024-02-08,2025-11-23,48,Y,교육과정 설명 00038
PRG00039,프로그램 00039,2024-02-09,2026-04-09,49,Y,교육과정 설명 00039
PRG00040,프로그램 00040,2024-02-10,2025-11-21,50,N,교육과정 설명 00040
PRG00041,프로그램 00041,2024-02-11,2026-04-11,51,Y,교육과정 설명 00041
PRG00042,프로그램 00042,2024-02-12,2025-11-19,52,Y,교육과정 설명 00042
PRG00043,프로그램 00043,2024-02-13,2026-04-13,53,Y,교육과정 설명 00043
PRG00044,프로그램 00044,2024-02-14,2025-11-17,54,Y,교육과정 설명 00044
PRG00045,프로그램 00045,2024-02-15,2026-04-15,55,N,교육과정 설명 00045
PRG00046,프로그램 00046,2024-02-16,2025-11-15,56,Y,교육과정 설명 00046
PRG00047,프로그램 00047,2024-02-17,2026-04-17,57,Y,교육과정 설명 00047
PRG00048,프로그램 00048,2024-02-18,2025-11-13,58,Y,교육과정 설명 00048
PRG00049,프로그램 00049,2024-02-19,2026-04-19,59,Y,교육과정 설명 00049
PRG00050,프로그램 00050,2024-02-20,2025-11-11,60,N,교육과정 설명 00050
PRG00051,프로그램 00051,2024-02-21,2026-04-21,61,Y,교육과정 설명 00051
PRG00052,프로그램 00052,2024-02-22,2025-11-09,62,Y,교육과정 설명 00052
PRG00053,프로그램 00053,2024-02-23,2026-04-23,63,Y,교육과정 설명 00053
PRG00054,프로그램 00054,2024-02-24,2025-11-07,64,Y,교육과정 설명 00054
PRG00055,프로그램 00055,2024-02-25,2026-04-25,65,N,교육과정 설명 00055
PRG00056,프로그램 00056,2024-02-26,2025-11-05,66,Y,교육과정 설명 00056
PRG00057,프로그램 00057,2024-02-27,2026-04-27,67,Y,교육과정 설명 00057
PRG00058,프로그램 00058,2024-02-28,2025-11-03,68,Y,교육과정 설명 00058
PRG00059,프로그램 00059,2024-02-29,2026-04-29,69,Y,교육과정 설명 00059
PRG00060,프로그램 00060,2024-03-01,2025-11-01,70,N,교육과정 설명 00060
PRG00061,프로그램 00061,2024-03-02,2026-05-01,71,Y,교육과정 설명 00061
PRG00062,프로그램 00062,2024-03-03,2025-10-30,72,Y,교육과정 설명 00062
PRG00063,프로그램 00063,2024-03-04,2026-05-03,73,Y,교육과정 설명 00063
PRG00064,프로그램 00064,2024-03-05,2025-10-28,74,Y,교육과정 설명 00064
PRG00065,프로그램 00065,2024-03-06,2026-05-05,75,N,교육과정 설명 00065
PRG00066,프로그램 00066,2024-03-07,2025-10-26,76,Y,교육과정 설명 00066
PRG00067,프로그램 00067,2024-03-08,2026-05-07,77,Y,교육과정 설명 00067
PRG00068,프로그램 00068,2024-03-09,2025-10-24,78,Y,교육과정 설명 00068
PRG00069,프로그램 00069,2024-03-10,2026-05-09,79,Y,교육과정 설명 00069
PRG00070,프로그램 00070,2024-03-11,2025-10-22,80,N,교육과정 설명 00070
PRG00071,프로그램 00071,2024-03-12,2026-05-11,81,Y,교육과정 설명 00071
PRG00072,프로그램 00072,2024-03-13,2025-10-20,82,Y,교육과정 설명 00072
PRG00073,프로그램 00073,2024-03-14,2026-05-13,83,Y,교육과정 설명 00073
PRG00074,프로그램 00074,2024-03-15,2025-10-18,84,Y,교육과정 설명 00074
